net,length_um
_0039_,18.815µm
_2110_,18.74µm
_0484_,18.72µm
_0272_,18.7µm
_0719_,18.7µm
_0304_,18.69µm
in2[4],18.68µm
_2366_,18.66µm
_2478_,18.64µm
net51,18.62µm
net283,18.62µm
_0726_,18.6µm
_2337_,18.6µm
_0330_,18.58µm
_2359_,18.57µm
_0542_,18.56µm
_1890_,18.56µm
_0727_,18.54µm
_2148_,18.54µm
_0238_,18.52µm
_1419_,18.48µm
_0443_,18.44µm
_1052_,18.44µm
_1155_,18.44µm
_1726_,18.405µm
_1370_,18.4µm
_1948_,18.4µm
_0253_,18.38µm
_0938_,18.38µm
_1768_,18.36µm
net54,18.36µm
_0311_,18.34µm
_1803_,18.34µm
_0968_,18.33µm
_0151_,18.32µm
_0532_,18.32µm
_1920_,18.3µm
_0582_,18.28µm
_2190_,18.28µm
_1095_,18.24µm
_0881_,18.22µm
_1931_,18.22µm
_1569_,18.205µm
_0135_,18.2µm
_0805_,18.2µm
_2440_,18.2µm
_0331_,18.16µm
_1292_,18.12µm
_1389_,18.12µm
_0678_,18.08µm
_2374_,18.08µm
_0120_,18.04µm
_0751_,18.04µm
_1702_,18.02µm
_1843_,18.02µm
net10,17.92µm
_1782_,17.88µm
_2264_,17.88µm
_0509_,17.76µm
_1909_,17.76µm
_0261_,17.74µm
_1923_,17.72µm
_0281_,17.7µm
_1866_,17.7µm
_1894_,17.665µm
_0822_,17.66µm
_1632_,17.66µm
_1998_,17.66µm
_2129_,17.66µm
_0908_,17.62µm
_1349_,17.62µm
_0713_,17.61µm
_0752_,17.6µm
_1514_,17.6µm
_2181_,17.595µm
_1344_,17.58µm
_0341_,17.56µm
_0357_,17.56µm
_0636_,17.56µm
_1310_,17.54µm
in2[9],17.54µm
_0935_,17.52µm
_1892_,17.52µm
_1149_,17.5µm
_1061_,17.49µm
_0234_,17.46µm
_1275_,17.44µm
_2193_,17.44µm
_0885_,17.435µm
_0474_,17.43µm
_1425_,17.42µm
_1695_,17.395µm
_2217_,17.38µm
_0494_,17.36µm
_0506_,17.36µm
_0124_,17.32µm
_1388_,17.32µm
_1479_,17.32µm
_0684_,17.27µm
_1578_,17.26µm
_0322_,17.24µm
_0488_,17.24µm
_1343_,17.22µm
in2_reg\[8\],17.22µm
_1486_,17.2µm
_0584_,17.18µm
_1018_,17.18µm
_0637_,17.16µm
_1360_,17.16µm
_2014_,17.16µm
_1886_,17.14µm
_0254_,17.12µm
_1086_,17.12µm
_0598_,17.1µm
_0821_,17.06µm
_1283_,17.02µm
_0861_,16.99µm
_0071_,16.98µm
_0329_,16.98µm
_2011_,16.98µm
_2161_,16.98µm
out[12],16.98µm
_1200_,16.94µm
_1233_,16.92µm
_2391_,16.88µm
_0363_,16.86µm
_1489_,16.82µm
_2437_,16.82µm
_0859_,16.8µm
_0933_,16.8µm
_0936_,16.8µm
_2070_,16.8µm
_0206_,16.78µm
_1404_,16.78µm
_1466_,16.78µm
_1625_,16.78µm
_0487_,16.74µm
_0871_,16.7µm
_1075_,16.7µm
_2151_,16.7µm
_2403_,16.7µm
_1557_,16.695µm
_0259_,16.68µm
_0156_,16.66µm
_0235_,16.66µm
_1772_,16.66µm
_0647_,16.64µm
_0898_,16.62µm
_1658_,16.6µm
_2330_,16.6µm
_0149_,16.57µm
_0157_,16.56µm
_0260_,16.56µm
_0930_,16.56µm
_1844_,16.56µm
_1400_,16.54µm
_0616_,16.52µm
_1405_,16.48µm
_2422_,16.48µm
_1443_,16.44µm
_1705_,16.44µm
_1799_,16.44µm
in1[0],16.44µm
_0562_,16.4µm
_0913_,16.4µm
