net,length_um
_0136_,5.72µm
_0918_,5.72µm
_0004_,5.7µm
net216,5.68µm
net218,5.68µm
_0488_,5.62µm
_0000_,5.605µm
_0197_,5.6µm
_0902_,5.6µm
_0943_,5.6µm
out[18],5.53µm
out[19],5.53µm
out[26],5.53µm
out[27],5.53µm
out[35],5.53µm
out[37],5.53µm
out[39],5.53µm
out[3],5.53µm
out[46],5.53µm
out[54],5.53µm
out[63],5.53µm
_0247_,5.5µm
_0916_,5.48µm
net119,5.48µm
in2[22],5.46µm
out[34],5.41µm
out[47],5.41µm
out[55],5.41µm
_0067_,5.4µm
_0904_,5.4µm
_0548_,5.38µm
_0878_,5.38µm
net117,5.38µm
_0094_,5.36µm
_0845_,5.36µm
_0884_,5.36µm
_0888_,5.36µm
_0033_,5.345µm
_0422_,5.34µm
net247,5.34µm
net261,5.34µm
in1[49],5.31µm
in3[27],5.31µm
out[1],5.31µm
out[38],5.31µm
out[56],5.31µm
out[5],5.31µm
_0586_,5.28µm
_0933_,5.28µm
_0105_,5.26µm
_0673_,5.26µm
_0747_,5.26µm
_0142_,5.22µm
_0607_,5.22µm
_0796_,5.22µm
out[40],5.19µm
out[53],5.19µm
out[8],5.19µm
_0258_,5.16µm
out[32],5.15µm
_0210_,5.14µm
_0497_,5.14µm
_0885_,5.12µm
out[20],5.07µm
out[24],5.07µm
out[49],5.07µm
out[50],5.07µm
_0059_,5.065µm
_0368_,5.04µm
_0428_,5.04µm
_0031_,5.005µm
_0674_,5µm
_0623_,4.94µm
_0424_,4.92µm
_0466_,4.92µm
_0521_,4.92µm
_0579_,4.92µm
_0655_,4.92µm
net262,4.92µm
_0022_,4.905µm
_0682_,4.9µm
net55,4.9µm
_0313_,4.88µm
_0346_,4.88µm
_0562_,4.88µm
_0821_,4.88µm
_0863_,4.88µm
out[2],4.85µm
out[31],4.85µm
out[42],4.85µm
out[44],4.85µm
out[4],4.85µm
out[61],4.85µm
out[7],4.85µm
_0051_,4.845µm
_0295_,4.82µm
_0371_,4.82µm
_0472_,4.82µm
_0939_,4.82µm
_0139_,4.8µm
_0222_,4.8µm
_0643_,4.8µm
_0825_,4.8µm
_0924_,4.8µm
net221,4.8µm
net260,4.8µm
_0968_,4.78µm
_0402_,4.76µm
_0718_,4.76µm
_0018_,4.72µm
_0046_,4.7µm
_0231_,4.66µm
_0050_,4.635µm
_0125_,4.6µm
_0498_,4.58µm
_0359_,4.48µm
_0500_,4.48µm
_0254_,4.46µm
_0519_,4.46µm
_0584_,4.46µm
_0775_,4.46µm
_0692_,4.45µm
_0225_,4.44µm
_0401_,4.44µm
_0089_,4.42µm
_0303_,4.42µm
_0316_,4.42µm
net222,4.42µm
net249,4.42µm
_0095_,4.36µm
_0112_,4.36µm
_0627_,4.36µm
_0842_,4.36µm
_0127_,4.34µm
_0170_,4.34µm
_0184_,4.34µm
_0216_,4.34µm
_0903_,4.34µm
_0657_,4.24µm
_0442_,4.22µm
_0027_,4.12µm
_0137_,4.02µm
_0279_,4.02µm
_0743_,4.02µm
_0941_,4.02µm
_0768_,4µm
_0913_,4µm
