net,length_um
_07454_,46.92µm
_02223_,46.88µm
_07211_,46.88µm
_05565_,46.84µm
net1151,46.82µm
_02466_,46.72µm
_08575_,46.71µm
_04070_,46.64µm
_04302_,46.48µm
_00034_,46.445µm
_02347_,46.42µm
_03772_,46.32µm
_05220_,46.31µm
_09251_,46.26µm
_09371_,46.24µm
_03201_,46.225µm
net310,46.19µm
_07015_,46.18µm
_08777_,46.16µm
_03432_,46.15µm
_03857_,46.13µm
_04898_,46.12µm
net424,46.08µm
net1158,46.04µm
_09844_,46µm
net341,46µm
_01570_,45.96µm
_09083_,45.96µm
_02644_,45.95µm
_05297_,45.9µm
_09380_,45.845µm
_05606_,45.82µm
_07633_,45.82µm
_00975_,45.78µm
